Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Portugal,PRT,10514844,10457295,10401062,10358076,10325452,10300300,10283822,10286263,10297081,10325147
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3634488,3593077,3534874,3473232,3406672,3325286,3193354,3193694,3281538,3263584
"Population, total",SP.POP.TOTL,Qatar,QAT,1905660,2035501,2214465,2414573,2595166,2711755,2766732,2807235,2760385,2688235
"Population, total",SP.POP.TOTL,Romania,ROU,20058035,19983693,19908979,19815616,19702267,19588715,19473970,19371648,19265250,19119880
"Population, total",SP.POP.TOTL,Russian Federation,RUS,143201721,143506995,143819667,144096870,144342397,144496739,144477859,144406261,144073139,143449286
"Population, total",SP.POP.TOTL,Rwanda,RWA,10840334,11101350,11368451,11642959,11930899,12230339,12531808,12835028,13146362,13461888
"Population, total",SP.POP.TOTL,Samoa,WSM,198124,199939,201757,203571,205544,207630,209701,211905,214929,218764
"Population, total",SP.POP.TOTL,San Marino,SMR,33132,33285,33389,33570,33834,34056,34156,34178,34007,33745
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,189924,193757,197497,201124,204632,208036,211344,214599,218641,223107
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,30821543,31482498,32125564,32749848,33416270,34193122,35018133,35827362,35997107,35950396
"Population, total",SP.POP.TOTL,Senegal,SEN,13231833,13595566,13970308,14356181,14751356,15157793,15574909,16000781,16436120,16876720
"Population, total",SP.POP.TOTL,Serbia,SRB,7199077,7164132,7130576,7095383,7058322,7020858,6982604,6945235,6899126,6834326
"Population, total",SP.POP.TOTL,Seychelles,SYC,88303,89949,91359,93419,94677,95843,96762,97625,98462,99258
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,6788587,6964859,7140688,7314773,7493913,7677565,7861281,8046828,8233970,8420641
"Population, total",SP.POP.TOTL,Singapore,SGP,5312437,5399162,5469724,5535002,5607283,5612253,5638676,5703569,5685807,5453566
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,34640,36607,37685,38825,39969,40574,40895,41608,42310,42846
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5407579,5413393,5418649,5423801,5430798,5439232,5446771,5454147,5458827,5447247
"Population, total",SP.POP.TOTL,Slovenia,SVN,2057159,2059953,2061980,2063531,2065042,2066388,2073894,2088385,2102419,2108079
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,567763,582365,597375,612660,628102,643634,659249,674993,691191,707851
"Population, total",SP.POP.TOTL,Somalia,SOM,12440326,12852485,13309235,13763906,14292847,14864221,15411094,15981300,16537016,17065581
"Population, total",SP.POP.TOTL,South Africa,ZAF,53145033,53873616,54729551,55876504,56422274,56641209,57339635,58087055,58801927,59392255
"Population, total",SP.POP.TOTL,South Sudan,SSD,10701604,11106031,11213284,11194299,11066105,10658226,10395329,10447666,10606227,10748272
"Population, total",SP.POP.TOTL,Spain,ESP,46773055,46620045,46480882,46444832,46484062,46593236,46797754,47134837,47365655,47415750
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,20425000,20585000,20778000,20970000,21203000,21444000,21670000,21803000,21919000,22156000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47727,47767,47789,47790,47788,47785,47761,47712,47642,47606
"Population, total",SP.POP.TOTL,St. Lucia,LCA,173124,173978,174804,175623,176413,177163,177888,178583,179237,179651
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,36026,35639,35261,35020,34811,34496,33852,33121,32553,31948
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,108083,107450,106912,106482,105963,105549,105281,104924,104632,104332
"Population, total",SP.POP.TOTL,Sudan,SDN,35159792,35990704,37003245,38171178,39377169,40679828,41999059,43232093,44440486,45657202
"Population, total",SP.POP.TOTL,Suriname,SUR,558111,563947,569682,575475,581453,587559,593715,600301,607065,612985
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1111444,1118319,1125865,1133936,1142524,1151390,1160428,1169613,1180655,1192271
"Population, total",SP.POP.TOTL,Sweden,SWE,9519374,9600379,9696110,9799186,9923085,10057698,10175214,10278887,10353442,10415811
"Population, total",SP.POP.TOTL,Switzerland,CHE,7996861,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8638167,8703405
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,22605577,21495821,20072232,19205178,18964252,18983373,19333463,20098251,20772595,21324367
"Population, total",SP.POP.TOTL,Tajikistan,TJK,7956382,8136610,8326348,8524063,8725318,8925525,9128132,9337003,9543207,9750064
